Zip Code,Dog Name,Animal Gender
10314,BLIZZARD,M
11361,CODY,M
10452,JAY-ZEE,M
10021,DEER,F
11357,LUCKY,M
11220,KRISTAL,F
11372,WINNIE,F
10314,LOUIS,M
11358,SHEA,F
10312,MAXI,F
11223,DODI,M
11201,NIKE,M
11375,PEPE,M
11215,JENNA,F
10019,BUCKLEY,M
11375,RUFFIAN,F
10452,LEONARDO,M
10002,SAM,F
11004,PHOEBE,F
11235,JUNIOR,M
10467,BAILEY,M
11215,ROXIE,F
11234,CHARLIE,M
11235,PATCHES,M
10312,BRITNEY,F
10003,SYDNEY,F
10301,DUBLIN,M
10306,MOCHA,F
10023,FABIO,M
10007,BLACK,M
10028,GINGER,F
10463,EINSTEIN,M
11231,RAMONA,F
11377,KIKI,F
10028,LUCY,F
10314,JOE,M
10312,BITSY,F
10308,SANDY,F
10308,ROCCO,M
11224,FILYA,M
10027,RUBY,F
11235,EKATERINA,F
10462,THUNDER,M
10031,BORIS,M
10031,NATASHA,F
10032,SUSY,F
10023,CHERUBINO,F
10025,FLUFFY,M
10310,SUZIE,F
10009,SPARKY,M
11229,BONY,M
11375,CHOCOLAT,M
11370,LUNA,F
10458,AMBER,F
10027,LUCKY,M
10462,LUCKIKASSE,M
10011,MERRYLILLI,F
11432,NEMO,M
11215,HENRY,M
10011,DEXTER,M
10024,SADIE,F
10473,PUPPY,M
10024,SCRUFFY,F
10028,RUMPOLE,M
10022,REMY,F
11201,BENJI,M
10308,DUDE,M
11378,SCOUT,F
11234,CRYSTAL,F
10001,EMMETT,M
10312,COSMO,M
10459,SPUNKY,M
10463,PRINCESS,F
10014,GINGER,F
11428,COOKIE,F
10029,ZOEY,F
11234,CHIP,M
11355,DUSTY,F
10302,JORDAN,M
10028,PRINCE,M
11358,COCOA,F
11235,ARES,M
11102,ZAC,M
10012,LITTLEMAN,M
10021,CHILLY,F
11365,LAWRENCE,M
11365,EINSTEIN,M
10016,PINKY,F
10309,GIA,F
10011,LUCY,F
10022,MICHAEL,M
10473,CHYNA,F
10128,LUCY,F
10312,AMY,F
10305,MUNCHKIN,M
11218,SHEBAH,
11370,BENGIE,M
10312,ADDI,F
11229,BABY,F
10002,BUDDY,M
11106,SPUNKY,M
10312,T.J,M
11204,MILLIE,F
11204,CHISSIE,F
11355,DJ,M
10009,JACK,M
10301,MADISON,M
11365,PEPPER,F
11222,CODY,M
10033,MINA,F
11355,RILEY,M
10023,SOPHIE,F
11235,RUDY,M
10033,KOBE,M
10310,TIPTOE,F
11222,MAGGIE,F
11211,SPOTO,M
11201,ARIEL,F
11379,SANDRA,F
11420,CASSIE,F
10012,MICK,M
10025,BAGGINS,M
10003,RIGBY,M
10308,MISTY,F
11385,BONZ,M
